cod_cliente,cnpj,holding,nome_cliente,id_gerente_area,gerente_area,cidterritory,vendedor,endereco,uf,cidade,lat,long,estrelas_batalhas,estrelas_espaco_em_loja,estrelas_inovacao,estrelas_ponto_extra,estrelas_preco,estrelas_sortimento_prioritario,estrelas_total,sellout_ton_ytd,trend_l6m
100037588,11132474000456,REDE ESTRELA DE,COML COMPRE MELHOR DE GENEROS,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"AV ANCHIETA,2141, BERTIOGA, SP, 11250-000, Brasil",SP,BERTIOGA,-23.8373074,-46.1321725,,1.0,,,,,1.0,14.093410800000001,-0.009674588857142794
100045410,50948371001220,IRMAOS BOA,IRMAOS BOA LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"AV ITATIBA,150, JUNDIAI, SP, 13215-250, Brasil",SP,JUNDIAI,-23.176611,-46.886129,,,,,,,,3.40052118,0.04349668457142857
100045440,50948371001069,IRMAOS BOA,IRMAOS BOA LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"R B JESUS DE PIRAPORA,2881, JUNDIAI, SP, 13206-305, Brasil",SP,JUNDIAI,-23.2123714,-46.8810546,0.5,,0.5,1.0,1.0,0.0,3.0,16.06980051,0.03022592228571435
100045867,50948371001140,IRMAOS BOA,IRMAOS BOA LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"R DEMERSON GOMES ROMANO,386, FRANCISCO MORATO, SP, 07902-000, Brasil",SP,FRANCISCO MORATO,-23.2849686,-46.74306199999999,,1.0,,,,,1.0,40.72578475,-0.1684359642857146
100048969,3858394000292,REDE NAGUMO,COML BARATAO MOGI DAS CRUZES LTDA,02020300,GUSTAVO OLIVEIRA,02020308,FELIPE ARAUJO,"ROD ALFREDO R MOURA,20, BIRITIBA MIRIM, SP, 08940-000, Brasil",SP,BIRITIBA MIRIM,-23.6002138,-46.0350503,,1.0,,,,,1.0,,
100049831,8359422000402,REDE ESTRELA DE,SUP SEMAR DE CESAR DE SOUZA LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"R JOSE GALLUCCI,281, MOGI DAS CRUZES, SP, 08750-600, Brasil",SP,MOGI DAS CRUZES,-23.5463495,-46.2525997,0.5,,0.5,1.0,1.0,1.0,4.0,19.63578721,0.05279585228571425
100051709,8960996000199,REDE SAO ROQUE,IBIUNA SR SUPERMERCADO LTDA,02020300,GUSTAVO OLIVEIRA,02020308,FELIPE ARAUJO,"AV CAP MANOEL DE OLIVEIRA CARV,529, IBIUNA, SP, 18150-000, Brasil",SP,IBIUNA,-23.6581697,-47.21314,,1.0,,,,,1.0,,
100051729,45495694000202,REDE SAO ROQUE,SUPERMERCADO SAO ROQUE LTDA,02020300,GUSTAVO OLIVEIRA,02020308,FELIPE ARAUJO,"R CONSELHEIRO ANTONIO PRADO,352, BOITUVA, SP, 18550-000, Brasil",SP,BOITUVA,-23.2822178,-47.6771576,,1.0,,,,,1.0,7.82521179,-0.011886888000000118
100051738,45495694001608,REDE SAO ROQUE,SUPERMERCADO SAO ROQUE LTDA,02020300,GUSTAVO OLIVEIRA,02020308,FELIPE ARAUJO,"R CORONEL EUGENIO MOTTA,526, BOITUVA, SP, 18550-970, Brasil",SP,BOITUVA,-23.2837343,-47.6702437,,1.0,,,,,1.0,4.86486473,0.0030654428571428604
100051739,45495694001780,REDE SAO ROQUE,SUPERMERCADO SAO ROQUE LTDA,02020300,GUSTAVO OLIVEIRA,02020308,FELIPE ARAUJO,"AV ARACAI,26,TERREO, SAO ROQUE, SP, 18130-971, Brasil",SP,SAO ROQUE,-23.5314482,-47.1326494,,1.0,,,,,1.0,5.67042107,-0.004882889714285778
100059650,71038764000114,REDE SHIBATA,COM E IMPORT SAO SEBASTIAO LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"AV GUARDA MOR LOBO VIANA,354, SAO SEBASTIAO, SP, 11600-000, Brasil",SP,SAO SEBASTIAO,-23.8013698,-45.4024175,,1.0,,,,,1.0,17.675152660000002,-0.0160014225714287
100059967,20276483000169,REDE SHIBATA,SHIBATA COM E ATAC PROD EM GER LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"R GILDA,153, FERRAZ DE VASCONCELOS, SP, 08533-210, Brasil",SP,FERRAZ DE VASCONCELOS,-23.5453741,-46.3802843,,1.0,,,,,1.0,30.82324502,0.007905835714285459
100063556,3843785000314,REDE ESTRELA DE,COML MELHOR LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"AV NOVE DE JULHO,1450, POA, SP, 08557-100, Brasil",SP,POA,-23.5129715,-46.3387591,,1.0,,,,,1.0,11.930108689999999,-0.0056654354285713675
100065225,3221466000377,REDE ESTRELA DE,SUP SEMAR DE SAO SEBASTIAO LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"AV BRASIL,1901, FERRAZ DE VASCONCELOS, SP, 08529-310, Brasil",SP,FERRAZ DE VASCONCELOS,-23.5436871,-46.3713917,,1.0,,,,,1.0,11.6245391,-0.013613190000000034
100065467,17349548000225,REDE SHIBATA,SK SUPS LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"AV SOLON PEREIRA,500, APARECIDA, SP, 12570-000, Brasil",SP,APARECIDA,-22.8440769,-45.2425352,,1.0,,,,,1.0,34.20165552,0.03620509228571415
