cnpj,cod_cliente,cidcustomer,nome_cliente,vendedor,cidterritory,endereco,lat,long,uf,cidade,gerente_area,estrelas_batalhas,estrelas_espaco_em_loja,estrelas_inovacao,estrelas_ponto_extra,estrelas_preco,estrelas_sortimento_prioritario,estrelas_total,estrelas_total_eff,has_stars,star_need_abs,sellout_ton_ytd,s_sell12,trend_l6m,trend_need,s_trend,score,tem_estrelas,prioritario
17349548000497,100104997,100104997,SK SUPERMERCADOS LTDA,CRISTINA VAZ,2020306,"AV BRASIL,1460, POA, SP, 08560-010, Brasil",-23.527431,-46.33035049999999,SP,POA,GUSTAVO OLIVEIRA,,0.5,,,,,0.5,0.5,0.16666666666666666,0.9,14.18390515,0.5828621481682749,0.0220321039999999,-0.0220321039999999,0.24825106666502178,0.6907834148943125,1,1
17349548000578,100126062,100126062,SK SUPERMERCADOS LTDA,CRISTINA VAZ,2020306,"RUA DOUTOR FREDERICO MACHADO,67, PINDAMONHANGABA, SP, 12410-040, Brasil",-22.9293628,-45.4593546,SP,PINDAMONHANGABA,GUSTAVO OLIVEIRA,,0.5,,,,,0.5,0.5,0.16666666666666666,0.9,29.2838796,0.8677451285676354,0.0148589994285714,-0.0148589994285714,0.27656223587466966,0.7773541864579633,1,1
17349548000659,100140574,100140574,SK SUPERMERCADOS LTDA,CRISTINA VAZ,2020306,"RODOVIA OSWALDO CRUZ,754, UBATUBA, SP, 11691-032, Brasil",-23.4374042,-45.09023939999999,SP,UBATUBA,GUSTAVO OLIVEIRA,,0.5,,,,,0.5,0.5,0.16666666666666666,0.9,20.12235751,0.7190752728747647,-0.0313014797142858,0.0313014797142858,0.4587507321942759,0.7695990918862203,1,1
17349548000730,100351555,100351555,SK SUPERMERCADOS LTDA,CRISTINA VAZ,2020306,"AV ARMA SALLES DE OLIVEIRA,1520, SUZANO, SP, 08673-115, Brasil",-23.5453585,-46.3169655,SP,SUZANO,GUSTAVO OLIVEIRA,,1.0,,,,,1.0,1.0,0.16666666666666666,0.8,33.96962226,0.9271102465371296,-0.0062594474285712,0.0062594474285712,0.35991358206847723,0.7626100008560927,1,1
185682000154,156047292,156047292,COMERCIAL OSVALDO TARORA LTDA,CRISTINA VAZ,2020306,"R OSVALDO CRUZ,276, CARAGUATATUBA, SP, 11660-300, Brasil",-23.6232667,-45.4130507,SP,CARAGUATATUBA,GUSTAVO OLIVEIRA,,1.0,,,,,1.0,1.0,0.16666666666666666,0.8,17.34889674,0.6609900110569534,-0.0313600877142857,0.0313600877142857,0.45898204919077495,0.7055887424974789,1,1
185682000405,156047354,156047354,COML OSVALDO TARORA LTDA,CRISTINA VAZ,2020306,"AV CAVALHEIRO NAMI JAFET,343, MOGI DAS CRUZES, SP, 08770-040, Brasil",-23.5222097,-46.2072402,SP,MOGI DAS CRUZES,GUSTAVO OLIVEIRA,0.5,,0.5,,1.0,1.0,3.0,3.0,0.6666666666666666,0.4,35.88803454,0.9491486784107763,-0.0399094637142855,0.0399094637142855,0.49272515556301266,0.6041251529040437,1,0
20276483000169,100059967,100059967,SHIBATA COM E ATAC PROD EM GER LTDA,CRISTINA VAZ,2020306,"R GILDA,153, FERRAZ DE VASCONCELOS, SP, 08533-210, Brasil",-23.5453741,-46.3802843,SP,FERRAZ DE VASCONCELOS,GUSTAVO OLIVEIRA,,1.0,,,,,1.0,1.0,0.16666666666666666,0.8,30.82324502,0.8882047616952589,0.0079058357142854,-0.0079058357142854,0.30400533146839975,0.7408993700621448,1,1
20276483000320,100086389,100086389,SHIBATA COM E ATAC DE PR EMGER LTDA,CRISTINA VAZ,2020306,"R ANDORRA,500, SAO JOSE DOS CAMPOS, SP, 12235-050, Brasil",-23.2366378,-45.8976932,SP,SAO JOSE DOS CAMPOS,GUSTAVO OLIVEIRA,,1.0,,,,,1.0,1.0,0.16666666666666666,0.8,40.14429487,0.9942089126669563,0.0142513797142855,-0.0142513797142855,0.27896041986529285,0.7663520198844882,1,1
20276483000401,100093992,100093992,SHIBATA COM ATAC PROD GERAL LTDA,CRISTINA VAZ,2020306,"R CAMPOS SALES,690, SUZANO, SP, 08674-020, Brasil",-23.5363763,-46.3066644,SP,SUZANO,GUSTAVO OLIVEIRA,,1.0,,,,,1.0,1.0,0.16666666666666666,0.8,13.29881638,0.5580788923378381,0.0482911548571428,-0.0482911548571428,0.14461052654763837,0.6165284843603351,1,0
20276483000592,100101344,100101344,SHIBATA COM ATAC DE PROD E GER LTDA,CRISTINA VAZ,2020306,"R BERNARDINO DE CAMPOS,359, JACAREI, SP, 12308-010, Brasil",-23.3019773,-45.9626805,SP,JACAREI,GUSTAVO OLIVEIRA,,1.0,,,,,1.0,1.0,0.16666666666666666,0.8,28.20301675,0.8527480847413388,0.0408310017142856,-0.0408310017142856,0.17405463346873065,0.7061035845103404,1,1
20276483000673,100101340,100101340,SHIBATA COM ATAC DE PROD E GER LTDA,CRISTINA VAZ,2020306,"AV PEREIRA CAMPOS,291, JACAREI, SP, 12320-670, Brasil",-23.3128546,-45.9793409,SP,JACAREI,GUSTAVO OLIVEIRA,,1.0,,,,,1.0,1.0,0.16666666666666666,0.8,16.27090785,0.6360058957218729,0.0488054608571428,-0.0488054608571428,0.14258063780887187,0.6383520014644194,1,0
20276483000754,100114701,100114701,SHIBATA COM E ATAC DE PROD GER LTDA,CRISTINA VAZ,2020306,"AV CARLOS PEDROSO DA SILVEIRA,3971, TAUBATE, SP, 12043-000, Brasil",-23.0270201,-45.60267590000001,SP,TAUBATE,GUSTAVO OLIVEIRA,,0.5,,,,,0.5,0.5,0.16666666666666666,0.9,21.1874198,0.7393747667188231,0.06794302,-0.06794302,0.06704755868561921,0.7009608446651322,1,1
20276483000835,100131397,100131397,SHIBATA COM ATAC DE PROD E GER LTDA,CRISTINA VAZ,2020306,"RUA PEDRO RACHID,143, SAO JOSE DOS CAMPOS, SP, 12212-100, Brasil",-23.1650736,-45.8955936,SP,SAO JOSE DOS CAMPOS,GUSTAVO OLIVEIRA,,1.0,,,,,1.0,1.0,0.16666666666666666,0.8,24.80984739,0.801779624822241,-0.0214865305714286,0.0214865305714286,0.4200125982105159,0.7383095867343367,1,1
245454000475,156042394,156042394,JGG REPRESENT COM E SUP LTDA,CRISTINA VAZ,2020306,"AV MATO GROSSO,838, CARAGUATATUBA, SP, 11665-250, Brasil",-23.6322427,-45.4281325,SP,CARAGUATATUBA,GUSTAVO OLIVEIRA,,1.0,,,,,1.0,1.0,0.16666666666666666,0.8,12.866283,0.5454038018763311,-0.0143743257142857,0.0143743257142857,0.391941791050353,0.6599090238343215,1,0
245454000556,100105678,100105678,J G G SUPERMERCADOS LTDA,CRISTINA VAZ,2020306,"AV PRESIDENTE TANCREDO NEVES,2100, SAO JOSE DOS CAMPOS, SP, 12225-142, Brasil",-23.1857693,-45.7984686,SP,SAO JOSE DOS CAMPOS,GUSTAVO OLIVEIRA,,1.0,,,,,1.0,1.0,0.16666666666666666,0.8,19.31226812,0.7029378770733014,-0.0217687231428571,0.0217687231428571,0.4211263700173902,0.7103513052691951,1,1
245454000637,100110539,100110539,J G G SUPERMERCADOS LTDA,CRISTINA VAZ,2020306,"ROD INDIO TIBIRICA,4600, SUZANO, SP, 08620-000, Brasil",-23.62536,-46.3277101,SP,SUZANO,GUSTAVO OLIVEIRA,,1.0,,,,,1.0,1.0,0.16666666666666666,0.8,21.5079228,0.7452929151623144,-0.0488121771428571,0.0488121771428571,0.5278628318357427,0.7427024188700507,1,1
26559110000181,100102507,100102507,CCJ COMERCIAL CAMPO JOIA LTDA,CRISTINA VAZ,2020306,"R RUA BARUEL,2000,GP 6 7 8 E 9, SUZANO, SP, 08675-900, Brasil",-23.5573667,-46.3052753,SP,SUZANO,GUSTAVO OLIVEIRA,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,0,0
3221466000296,156043193,156043193,SUP SEMAR SAO SEBASTIAO LTDA,CRISTINA VAZ,2020306,"R CAPITAO LUIZ SOARES,466, SAO SEBASTIAO, SP, 11600-000, Brasil",-23.8031471,-45.4019374,SP,SAO SEBASTIAO,GUSTAVO OLIVEIRA,,1.0,,,,,1.0,1.0,0.16666666666666666,0.8,10.39737579,0.46449320489263507,-0.0178899742857143,0.0178899742857143,0.4058175293162947,0.639485893964497,1,0
3221466000377,100065225,100065225,SUP SEMAR DE SAO SEBASTIAO LTDA,CRISTINA VAZ,2020306,"AV BRASIL,1901, FERRAZ DE VASCONCELOS, SP, 08529-310, Brasil",-23.5436871,-46.3713917,SP,FERRAZ DE VASCONCELOS,GUSTAVO OLIVEIRA,,1.0,,,,,1.0,1.0,0.16666666666666666,0.8,11.6245391,0.5066902013825915,-0.01361319,0.01361319,0.3889377024044855,0.6483048708508908,1,0
3221466000458,100068582,100068582,SUP SEMAR DE SAO SEBASTIAO LTDA,CRISTINA VAZ,2020306,"AV GUARDA MOR LOBO VIANA,934, SAO SEBASTIAO, SP, 11600-000, Brasil",-23.796412,-45.4001928,SP,SAO SEBASTIAO,GUSTAVO OLIVEIRA,,0.5,,,,,0.5,0.5,0.16666666666666666,0.9,6.41684968,0.28720823770875387,-0.0022524791428571,0.0022524791428571,0.3440986784901299,0.6247330966601196,1,0
3843785000152,156049569,156049569,COML MELHOR LTDA,CRISTINA VAZ,2020306,"R PILAR DO SUL,115, SAO PAULO, SP, 08420-600, Brasil",-23.5430386,-46.426025,SP,SAO PAULO,GUSTAVO OLIVEIRA,0.5,,0.5,1.0,1.0,1.0,4.0,4.0,0.8333333333333334,0.2,16.22117145,0.6348158494339357,0.0583070894285713,-0.0583070894285713,0.10507913318500071,0.3458875523938218,1,0
3843785000233,100030045,100030045,COML MELHOR LTDA,CRISTINA VAZ,2020306,"R XAVANTES,411, GUARATINGUETA, SP, 12511-010, Brasil",-22.7977361,-45.2064955,SP,GUARATINGUETA,GUSTAVO OLIVEIRA,0.5,,0.5,1.0,1.0,1.0,4.0,4.0,0.8333333333333334,0.2,7.959873829999999,0.3651992237344713,0.0145721985714285,-0.0145721985714285,0.2776941958949357,0.30184367598436207,1,0
3843785000314,100063556,100063556,COML MELHOR LTDA,CRISTINA VAZ,2020306,"AV NOVE DE JULHO,1450, POA, SP, 08557-100, Brasil",-23.5129715,-46.3387591,SP,POA,GUSTAVO OLIVEIRA,,1.0,,,,,1.0,1.0,0.16666666666666666,0.8,11.93010869,0.5165591187724079,-0.0056654354285713,0.0056654354285713,0.3575691056877001,0.6451574789307993,1,0
3966019000185,156049631,156049631,COML MATRIT LTDA,CRISTINA VAZ,2020306,"AV SAO MIGUEL,2104, SAO PAULO, SP, 03620-001, Brasil",-23.5121041,-46.5107718,SP,SAO PAULO,GUSTAVO OLIVEIRA,,0.5,,,,,0.5,0.5,0.16666666666666666,0.9,12.63122847,0.5383488445064032,-0.0708894005714285,0.0708894005714285,0.6149983255318865,0.7477791025353834,1,1
3966019000266,156049720,156049720,COML MATRIT LTDA,CRISTINA VAZ,2020306,"AV BARAO DE MAUA,4460, MAUA, SP, 09330-150, Brasil",-23.6726526,-46.4228531,SP,MAUA,GUSTAVO OLIVEIRA,,0.5,,,,,0.5,0.5,0.16666666666666666,0.9,12.57125038,0.536529171151783,-0.1212728425714284,0.1212728425714284,0.8138542236472002,0.7850431162712262,1,1
3966019000347,156048746,156048746,COMERCIAL MATRIT LTDA,CRISTINA VAZ,2020306,"R GENERAL FRANCISCO GLICERIO,1355, SUZANO, SP, 08674-003, Brasil",-23.5462784,-46.3119683,SP,SUZANO,GUSTAVO OLIVEIRA,,1.0,,,,,1.0,1.0,0.16666666666666666,0.8,13.29232869,0.5578916228037551,-0.0572615088571428,0.0572615088571428,0.5612110783989389,0.6956292173948686,1,1
4063469000201,156047022,156047022,COML KEYPAR REPRES E SUP LTDA,CRISTINA VAZ,2020306,"AV DONA MARIA ALVES,715, UBATUBA, SP, 11680-000, Brasil",-23.4336132,-45.076817,SP,UBATUBA,GUSTAVO OLIVEIRA,,0.5,,,,,0.5,0.5,0.16666666666666666,0.9,10.7773773,0.4780269413638472,-0.0495076937142858,0.0495076937142858,0.5306079315545261,0.7145531852840564,1,1
4063469000473,100078687,100078687,COM KEYPAR REPRESENT E SUPS LTDA,CRISTINA VAZ,2020306,"R JOAO DUARTE PEREIRA,330, UBATUBA, SP, 11680-000, Brasil",-23.4318666,-45.0846531,SP,UBATUBA,GUSTAVO OLIVEIRA,,1.0,,,,,1.0,1.0,0.16666666666666666,0.8,11.71123435,0.5095142450848325,-0.0422761182857142,0.0422761182857142,0.5020659866306909,0.6706040973090086,1,1
4063469000554,100095134,100095134,COM KEYPAR REPRES E SUPERM LTDA,CRISTINA VAZ,2020306,"AV ARMANDO COLANGELO,173, ARUJA, SP, 07401-070, Brasil",-23.3948257,-46.3299391,SP,ARUJA,GUSTAVO OLIVEIRA,,1.0,,,,,1.0,1.0,0.16666666666666666,0.8,17.9772003,0.6748833472410497,-0.0064400419999998,0.0064400419999998,0.3606263617887707,0.6908607627035657,1,1
4103530000205,156047023,156047023,COMERCIAL SEMAR DE PINDA LTDA,CRISTINA VAZ,2020306,"AV NSA SENHORA DO BOM SUCESSO,1440, PINDAMONHANGABA, SP, 12420-010, Brasil",-22.9383696,-45.4631238,SP,PINDAMONHANGABA,GUSTAVO OLIVEIRA,,0.5,,,,,0.5,0.5,0.16666666666666666,0.9,9.03829026,0.4120968168138581,-0.0011275654285714,0.0011275654285714,0.3396588125723444,0.659482767180695,1,0
4103530000388,156041912,156041912,COMERCIAL SEMAR DE PINDA LTDA,CRISTINA VAZ,2020306,"R DOMINGUES RIBAS,555, TAUBATE, SP, 12060-000, Brasil",-23.0181349,-45.5660367,SP,TAUBATE,GUSTAVO OLIVEIRA,,1.0,,,,,1.0,1.0,0.16666666666666666,0.8,15.45598605,0.616060956869611,0.0118955314285714,-0.0118955314285714,0.28825860014204135,0.660346506734827,1,0
4103530000469,100126187,100126187,COMERCIAL SEMAR PINDA LTDA,CRISTINA VAZ,2020306,"ESTRADA ANTONIO CORDEIRO ROSA,840, ITAQUAQUECETUBA, SP, 08581-020, Brasil",-23.459621,-46.3598225,SP,ITAQUAQUECETUBA,GUSTAVO OLIVEIRA,,1.0,,,,,1.0,1.0,0.16666666666666666,0.8,11.44218091,0.5006861554452754,-0.010372902,0.010372902,0.3761487710648546,0.644163820804226,1,0
4103530000540,100602814,100602814,COMERCIAL SEMAR DE PINDA LTDA,CRISTINA VAZ,2020306,"ESTRADA PINHEIRINHO NOVO,2101, ITAQUAQUECETUBA, SP, 08588-640, Brasil",-23.4477993,-46.3099556,SP,ITAQUAQUECETUBA,GUSTAVO OLIVEIRA,,1.0,,,,,1.0,1.0,0.16666666666666666,0.8,14.86080329,0.6008596884533743,0.0152481560000001,-0.0152481560000001,0.27502629318304234,0.6535000069139897,1,0
48093892000149,156049400,156049400,SUPERM SHIBATA LTDA,CRISTINA VAZ,2020306,"R PIRAJU,499, ITAQUAQUECETUBA, SP, 08577-770, Brasil",-23.4905095,-46.3661627,SP,ITAQUAQUECETUBA,GUSTAVO OLIVEIRA,,1.0,,,,,1.0,1.0,0.16666666666666666,0.8,25.92764422,0.8192747491932406,-0.0163037391428574,0.0163037391428574,0.3995568968260635,0.7394091139170256,1,1
